гэж	pron. as,that
өчигдөр	n. yesterday
өдөр бүр	n. every day
өчигдөр орой	n. last night
cap	n. month
сарын дараа	n. after a month
уржигдар	n. day before yesterday
үдээс хойш	n. afternoon
үд дунд	n. noon
хараахан	n. yet
хоног	n. day/24 hours
2 жилийн өмнө	n. 2 years ago
шөнө дунд	n. midnight
улиралууд	n. seasons
зун	n. summer
байгаль	n. nature
аянга	n. thunder
газар хедлелт	n. earthquake
ган гачиг	n. drought
зэрэглээ	n. mirage
манан	n. fog
мөндөр	n. hail
нуур	n. lake/pond
рашаан	n. spring
солонго	n. rainbow
уул	n. mountain
халуун хүйтэн	n. temperature
хунгар	n. drift
цан	n. frost
цасан шуурга	n. blizzard
шавхай	n. slush
шиврээ бороо	n. drizzle
шороо	n. soil
шуурга	n. storm
элс	n. sand
амьтад	n. animals
алаг тахь	n. zebra
анааш	n. giraffe
арслан	n. lion
баавгай	n. bear
буга	n. deer
булга	n. sable
бух	n. bull
гахай	n. pig
гөлөг	n. puppy
гөрөөс	n. antelope
гүрвэл	n. lizard
заан	n. elephant
зараа	n. hedgehog
зурам	n. gopher
илжиг	n. donkey
ирвэс	n. leopard
ишиг	n. kid
могой	n. snake
мэлхий	n. frog
сармагчин	n. monkey
сарлаг	n. yak
тарвага	n. marmot
торой	n. piglet
тугал	n. calf
туулай	n. hare/rabbit
тэмээ	n. camel
унага	n. foal
үнэг	n. fox
үхэр	n. cow
үхэр хулгана	n. rat
халим	n. whale
хандгай	n. elk/moose
хонь	n. sheep
хулгана	n. mouse
хурга	n. lamb
хэрэм	n. squirrel
чоно	n. wolf
шанаган хорхой	n. tadpole
шар үхэр	n. ox
шилүүс	n. lynx
ямаа	n. goat
яст мэлхий	n. turtle/tortoise
аалз	n. spider
жоом	n. cockroach
бясаа	n. bug
зөгий	n. bee
хачиг	n. tick
хувалз	n. tick
царцаа	n. grasshopper
шоргоолж	n. ant
цох хорхой	n. ladybug
шумуул	n. mosquito
эрвээхэй	n. butterfly
болжмор	n. lark/sparrow
бүргэд	n. eagle
галуу	n. goose
тахианы дэгдээхэй	n. chicken
тагтаа	n. pigeon
тогоруу	n. crane
тоншуул	n. woodpecker
тоть	n. parrot
хараацай	n. swallow
хөхөө	n. cuckoo
хун	n. swan
хэрээ	n. crow
шаазгай	n. magpie
шар шувуу	n. owl
шонхор	n. falcon
цацагт хяруул	n. turkey
элээ	n. vulture
тас	n. vulture
ятуу	n. grouse
дэс тоо	n. ordinal numbers
дүрс	n. shapes
долоон енцөгт	n. heptagon
зургаан өнцөгт	n. hexagon
зууван	n. oval
конус	n. cone
куб	n. cube
мушгиа	n. spiral
найман өнцөгт	n. octagon
өнцөг	n. angle
пирамид	n. pyramid
таван өнцөгт	n. pentagon
тэгш өнцөгт	n. rectangle
хүний бие	n. parts of the body
алга	n.palm, is not
ам	n. mouth
бугуй	n. wrist
булчин	n. calf
гарын сарвуу	n. hand
гуя	n. thigh
гэдэс	n. stomach
магнай	n. forehead
дух	n. forehead
мэнгэ	n. birthmark
нуруу	n. back/spine
нүд	n. eye
өвдөг	n. knee
өгзөг	n. buttocks
өсгий	n. heel
сормуус	n. eyelash
суга	n. armpit
ташаа	n. hip
тохой	n. elbow
уруул	n. lip
хацар	n. cheek
хөлийн тавхай	n. foot
хөмсөг	n. eye brow
хелийн хуруу	n. toe
хумс	n. finger nail
хүй	n. navel
цээж	n. chest
чих	n. ear
шагай	n. ankle
эрүү	n. chin
эрхий хуруу	n. thumb
яс	n. bone
эдлэлийн	n. jewelry store
бичгийн хэрэгслийн	n. stationary
гутлын дэлгүүр	n. shoe store
зоогийн газар	n. restaurant
их дэлгүүр	n. department store
ломбард	n. pawn shop
номындэлгүүр	n. book store
ногооны мухлаг	n. vegetable stand
сонины мухлаг	n. newsstand
спортын барааны	n. sporting goods store
талхны	n. bakery
тасаг	n. department
тооцоо	n. bill
уран зургийн	n. art gallery
үйлчилгээний төв	n. service center
хариулт мөнгө	n. change
хивсний дэлгүүр	n. carpet store
хувцасны дэлгүүр	n. clothing store
худалдааны төв	n. shopping center
хөгжмийн дэлгүүр	n. music store
хүнсний дэлгүүр	n. grocery store
хүнсний зах	n. supermarket
цайны газар	n. cafeteria
эмийн сан	n. drugstore
суурин	n. town
автобус	n. bus
автобусны буудал	n. bus stop
авто зогсоол	n. parking lot
амьтны хүрээлэн	n. zoo
барилга	n. building
байр.сууц	n. apartment
гудамж	n. street
дүүрэг	n. district
кино	n. movie/film
кино театр	n. cinema
концерт	n. concert
музей	n. museum
өргөн чөлөө	n. avenue
сүм	n. church
театр	n. theater
усан сан	n. swimming pool
үзэсгэлэн	n. exhibition
үйлдвэр	n. factory
хот	n. city, town
хороолол	n. micro district
хүн ам	n. population
цэнгэлдэх хүрээлэн	n. stadium
цагдаагийн газар	n. police station
цирк	n. circus
шөнийн клуб	n. night club
шуудан	n. post office
эмнэлэг	n. hospital
эрүүл мэндийн төв	n. health center
спорт ба тоглоом	n. sports and games
аварга	n. champion
алхалт	n. jogging
ан агнуур	n. hunting
бильярд	n. billiards
боулинг	n. bowling
бокс	n. boxing
бөхийн барилдаан	n. wrestling
гар бөмбөг	n. volleyball
гимнастик	n. gymnastics
гүйлт	n. running
дасгалжуулагч	n. trainer
дугуй уналт	n. bicycling
морь уналт	n. horse riding
өрселдөгч	n. competitor
поло	n. polo
сагсан бөмбөг	n. basketball
сур	n. archery
байт сур	n. archery
теннис	n. tennis
тэмцээн	n. competition
усан сэлэлт	n. swimming
хожигдогч	n. loser
хоккей	n. hockey
хөл бөмбөг	n. football
хүндийн өргөлт	n. weight lifting
цанын спорт	n. skiing
цом	n. cup
шатар	n. chess
ширээний теннис	n. ping pong
эмээл	n. saddle
ялагч	n. winner
ажил алба	n. jobs and work
аж ахуйн эзэн	n. farmer
багш	n. teacher
бие хамгаалагч	n. bodyguard
бизнесмен	n. businessman
бичээч	n. typist
бүжигчин	n. dancer
гал сөнөөгч	n. fireman
гоо сайханч	n. beautician
гэрийн багш	n. tutor
дуучин	n. singer
жолооч	n. driver
жүжигчин	n. actor/actress
зохиолч	n. writer
зураач	n. artist
илбэчин	n. magician
инженер	n. engineer
касс	n. cashier
менежер	n. manager
механик	n. mechanic
мөрдөгч	n. detective
мужаан	n. carpenter
ня-бо	n. accountant
орчуулагч	n. translator
сэтгүүлч	n. journalist
талхчин	n. baker
цагдаа	n. policeman
уих-ын гишүүн	n. parliament
үсчин	n. barber
хаалгач	n. doorman
харваач	n. archer
хөлсний ажилчин	n. wage worker
хуульч	n. lawyer
цэвэрлэгч	n. cleaner
шууданч	n. postman
шүдний эмч	n. dentist
шүүгч	n. judge
эмч	n. doctor
худалдаа	n. business
наймаа	n. business
албан татвар	n. tax
баланс тэнцэтгэл	n. balance
барьцаа.зээл	n. mortgage
бэлэн мөнгө	n. cash
гэрээ, хэлцэл	n. contract
данс тооцоо	n. account
жилийн тайлан	n. annual report
зээл	n. credit
орлого	n. income
өртөг шан	n. fee
өр төлбөр	n. debt
санхүү-н шалгалт	n. audit
сонирхол	n. interest
түрээс	n. rent
удирдлага	n. management
үнэт цаас	n. bond
үнэ өртөг	n. cost
хандив	n. donation
хөрөнгө	n. capital
хөдөлмөрийн  гэрээ	n. labor contract
хөрөнгө оруулалт	n. investment
худалдаа	n. commercial
хувь ноогдол	n. quota
хувьцаа	n. stock
хувьцааны ноогдол	n. value
хүү.хувь	n. profit
цалингийн цэс	n. payroll
цалин хөлс	n. wage/salary
цуцлалт	n. write off
эдийн засаг	n. economy
эд юмс ба багаж	n. tools
алх	n. hammer
амны алчуур	n. napkin
бахь	n. pliers
бугуйвч	n. bracelet
бугуйн цаг	n. watch
гар цүнх	n. handbag
зангианы хавчаар	n. tie tack/clip
зүү	n. needle
зээлийнкарт	n. credit card
нимгэн цаас	n. tissues
нусны алчуур	n. handkerchief
нүдний шил	n. eyeglasses
сам	n. comb/brush
сойз	n. toothbrush
сүх	n. axe
тооны машин	n. calculator
түлхүүрийн оосор	n. key chain
түрийвч	n. wallet
үдээсний машин	n. stapler
үсний хавчаар	n. hairpin
хадаас	n. nail
хайч	n. scissors
хаягийн ном	n. address book
хөзөр	n. deck of cards
хөрөө	n. saw
хуруувч	n. thimble
хүзүүний зүүлт	n. necklace
цаасны хавчаар	n. paper clips
цүнх	n. briefcase
шүхэр	n. umbrella
ээмэг	n. earrings
үйл үгс	n. verbs
айх	v. to be afraid
аялах	v. to travel
барих	v. to build
барилга	v. to build
барьж авах	v. to catch
бодох	v. to think
болох	v. to be
байх	v. to be
бороо орох	v. to rain
будах	v. to paint
буцалгах	v. to boil
бүжиглэх	v. to dance
гайхах	v. to be surprised
гэрлэх	v. to be married
дуу гаргах	v. to sound
дуртай	v. to like
дуусах	v. to finish
жолоодох	v. to drive
завгүй байх	v. to be busy
завтай байх	v. to be free
зажлах	v. to chew
зарцуулах	v. to spend
өнгөрөөх	v. to spend
зогсох	v. to stand
зочлох	v. to visit
зөв бичих	v. to spell
зурах	v. to draw
идэх	v. to eat
инээх	v. to smile
итгэх	v. to believe
мартах	v. to forget
мөлхөх	v. to climb, crawl, creep
мөнгө олох	v. to earn
наах	v. to stick
нисэх	v. to fly
оёх	v. to sew
ойлгох	v. to understand
онгойлгох	v. to open
орилох	v. to shout
орчуулах	v. to translate
өвдөх	v. to be sick
өлсөх	v. to be hungry
өмсөх	v. to wear
зүүх	v. to wear
сайжрах	v. to improve
санах	v. to remember
солих	v. to change
сэлэх	v. to swim
сэрэх	v. to wake up
таалах	v. to enjoy
тайлах	v. to take off
талархах	v. to be glad
товч тайлах	v. to unbutton
тоолох	v. to count
түрүүлэх	v. to win
тэвчих	v. to endure
тэжээх	v. to feed
тэмдэглэх	v. to celebrate
угаах	v. to wash
уйлах	v. to cry
унших	v. to read
урих	v. to invite
усанд орох	v. to bathe
утсаар ярих	v. to call
уулзах	v. to meet
уурлах	v. to get angry
үзэх	v. to see
үнэрлэх	v. to smell
хаах	v. to close
хагалах	v. to chop (wood)
хазах	v. to bite
хаях	v. to throw
шидэх	v. to throw
хоол хийх	v. to cook
хоцрох	v. to be late
хөлрөх	v. to sweat
хөдлөх	v. to move
хөхрөх	v. to laugh
хувилах	v. to copy
худалдах	v. to sell
хүсэх	v. to want
хүрч ирэх	v. to arrive
хэвтэх	v. to lie
хэрэглэх	v. to use
хэрчих	v. to cut
хэрэгтэй байх	v. to need
цадах	v. to get full
цангах	v. to be thirsty
цас орох	v. to snow
цахилгаан татах	v. to zipper
цоожлох	v. to lock
чадах	v. to be able
чанах	v. to brew
шумбах	v. to dive
эвдэх	v. to break
эргэх	v. to turn
эрэх	v. to look for
хайх	v. to look for
ядрах	v. to tire
ярих	v. to speak
ярилцах	v. to talk
тэмдэг нэр	n. adjectives
алтан	adj. gold
амархан	adj. easy
анхны	adj. first
бага зэрэг	adj. a little bit
бороотой	adj. rainy
бохир	adj. dirty
буржгар	adj. curly
бүдүүн	adj. thick
бүрхэг	adj. overcast
гоолиг	adj. slender
гоё	adj. beautiful
дундуур	adj. half full
дүүрэн	adj. full
жаахан	adj. a little
залхуу	adj. lazy
зөвхөн	adj. only
илүү сайн	adv. better
инээдтэй	adj. funny
муухай	adj. ugly
намхан	adj. short
нартай	adj. sunny
нил ягаан	adj. violet/purple
өвчтэй	adj. sick
өтгөн	adj. strong
салхитай	adj. windy
тарган	adj. fat
тоостой	adj. dusty
тэнэг	adj. stupid
тэгш	adj. flat
ухаантай	adj. clever
үнэтэй	adj. expensive
халтиргаатай	adj. slippery
хамгийн муу	adj. worst
хөгшин	adj. old
хуурай	adj. dry
хүрэн	adj. brown
хэцүү	adj. difficult
хямдхан	adj.cheap
цайвар шаргал	n. beige
цастай	adj. snowy
цөөхен	adj. few
шаргал	adj. orange
шингэн	adj. weak
сул	adj. weak
эвдэрхий	adj. broken
ягаан	adj. pink/rose
асуух үг	n. question words
аль	pron. which
хаашаа	adv. where to
хаанаас	adv. where from
хэзээ	adv. when
хэнд	pron. to whom
хэний	pron. whose
хэр их	adv. how much
хэр олон	adv. how often
юу	pron. what
юунд	pron. to what
яаж	adv. how
үлдээх	v. to void, omit
асах	v. to ignite
тэртээ	prep. beyond
нийлэх	v. to unite
очих	v. to visit
хашхиралдах	v. to yell
хашгиралдах	v. to yell
гаргах	v. to launch, issue
гялайлаа	???. thank you
цааш	adj. farther
хойно	adj. then, after, behind
харлах	v. to feel sick or faint, to darken
мичид	n. evening star
гэрэлтэх	v. to shine
чичрэх	v. to shake
элгэн	adj. chesnut,maroon
цав	n. fissure, slit
цалин	n. salary
хазаар	n. bridle, bit
торгон	n. silk
давхих	v. to gallop
үүр	n. dawn
цайх	v. to dawn
хожуул	n. stump,stub
бут	n. bush
арай	adj. near
ядах	v. to have difficulty
арай ядан	adj. barely, hardly
шүүдэр	n. dew
бүрхэх	v. to cover
хөрөх	v. to freeze
хөших	v. to become numb, stiff
ухаа	adj. reddish
хонгор	adj. lovable
мандах	v. to rise
ээх	v. to warm
дулаацах	v. to heat up
хяруу	n. white frost
хатаах	v. to dry
өдөржингөө	adv. all day long
аглаг	n. solitude
тойрох	v. to encircle, get around
гавал	n. skull
цүү	n. spike
балмагдах	v. to be afraid
хөшөө	n. monument, memorial
мэт	adj. somewhat, as if, like, as
шингэх	v. to be absorbed, soaked, set
дээрх	prep. above
гэгээ	n. daylight, glow
дагжих	v. cower, shake
чичирсэн	adj. shivery, tremulous
аймшиг	n. awe, fear
зугтах	v. to avoid, flee
шигдэх	v. to sag, sink
доргих	v. to chatter, jiggle, vibrate
сүр	n. grandeur, majesty
чимээ	n. clamour, news, noise, word
бол	v. and, are, hold
суугаа	n. resident
нүдүүр	n. beater, pounder
шүүрдэх	v. to sweep, whisk
ирмэг	n. border, edge
дөхөх	v. to approach
доор	prep. below, beneath
бөхийх	v. to bend, bow
дор	prep. downstairs, under
даруу	adj. decent, humble, lowly
ир	n. blade, edge, spike
явуулах	v. despatch, send
хамаатан	n. kin, relative
цүг	adj. together
олдох	v. to be available
гэсэх	v. defrost
бат	adj. firm, steady
бөх	adj. firmness, strong
онгойх	v. to open
баялаг	n. abundance, exuberance, gold
үүд	n. gate, portal
нээгдэх	v. to open
хашгирах	v. exclaim, shout
урах	v. to germinate,grow
гуядах	v. flog
завдах	v. to intend, manage
хус	n. boy
орчих	v. spin, wheel
үүн	pron. it
бүү	???. no
шавхуурдах	v. flog, smack
дагуулах	v. append, guide
болиулах	v. cease, suspend
дэргэд	prep. beside, near
ухасхийх	v. recoil
хахир	adj. rugged, stern
над	pron. me
амар	n. rest, peaceful
маажих	v. to scratch
вандан	n. board, bench
хувин	adj. pitcher, bucket
дэгдээх	v. to stir up
дөчин	adj. forty years
аяга	n.	cup
дэгдээхий	adj. fledgling
нугас	n. duck, brain
боов	n. bun,turnover
амтат	adj. sweet
бал	conj. provided that ___, ball, honey
хөөсрөх	v. to foam, froth
исгэлэн	adj. eager, sour
хэм	n. degree, measure
цөм	n. core, nucleus
булан	n. anger, angle, nook
шуудай	n. bag, sack
ялгаа	n. departure, discrepancy, difference
биелэх	v. to fulfill
дүнгэнэх	v. to buzz, drone
хурхирах	v. to snore
эдлэх	v. to consume, taste
алба	n. employment
хариу	n. answer
гуних	v. to grieve
сэргэлэн	adj. alive, animated
тайван	adj. calm, composed
аргадах	v. appease, coax
дөнгөх	v. to barely do something
шувуухай	n. small bird
цэнхэр	adj. azure, blue
бүгдээрээ	adj. all
нашаа	adv. here
саатах	v. to linger, overstay
үй түмэн	n. multitude
дуугарах	v. clang, clatter
үр	n. kernel, seed
мөхлөг	n. grain, granule
тийш	prep. toward
үртэс	n. chip, crumb
ялгах	v. determine, differentiate, segregate, identify
олз	n. loot, plunder
омог	n. capture, pride, stem, kindred
намуу	n. poppy
цэцгийн	adj. floral
холилдох	v. to blend, jumble
бүгд	n. everybody, everyone
салгах	v. to deliver, detatch, disengage
гадаа	adj. outside
хангинах	v. blare, clang, jingle
шүгэлдэх	v. hiss, whistle
одоо	adv. now
уур	n. anger, wrath, vapor
шүүрэх	v. to grab, percolate, leak, grasp
цангинуулах	v. to shout in a shrill voice
алс	adj. far
амбаар	n. barn
сав	n. can, container, vase, uterus
айл	n. family
оготно	n. mouse
нааш	adv. this way
шуудайлах	v. to put in a bag
аяга	n. cup, bowl
цаагуур	adv. further, other side
шажигнах	v. creak, grate, sputter
навчис	n. leaf
шаржигнах	v. sizzle
пийшин	n. cooker, furnace
чих	n. ear, dock
чагнах	v. listen, monitor
дуулах	v. chant, crow
дуулдах	v. arise, carry
тавиур	n. leg, mat, stand
тавхай	n. foot, sole
хучих	v. envelop, inlay, tuck
дайлах	v. entertain, treat
энхрий	adj. affectionate, beloved, gentle
салах	v. conquer, divide, separate
амин	adj. crucial, essential, important
тод	adj. articulate, bold, bright
түлэх	v. burn, scald, sear
халаах	v. scorch, warm, heat
тус	v. profit, boost, help
хүргэх	v. bring, deliver, extend, touch
бэлэглэх	v. donate, give, present
шунаг	adj. lascivious
ул	n. relic, sole
зугтаах	v. abscond
эрс	adj. categorical, overwhelming
харайх	v. bounce, dance, jump
ороолгох	v. flog
мөчир	n. branch, graft, twig
өнгийн	adj. chromo-
тууз	n. band, ribbon
өлгөх	v. hang, suspend, dangle
хаагдах	v. shut
тос	n. fat, grease, oil
түрхэх	v. dab, paint, smear
сохлох	adj. blind
сугалах	v. draw, extract, pull
суулгах	v. install, diarrhea, embed
зүг	n. direction, way
сэдэх	v. brew, invent, plan, contrive
ёс	n. ceremony, procedure
эрхэмлэх	v. prefer, preference
дээдлэх	v. prefer
уламжлал	v.tradition, legacy
соёл	n. culture
заншил	n. custom, habit, ritual
багаар	adj. less
алдагдал	n. detriment, disadvantage, loss 
суртахуун	n. morals, ethics
доройтох	v. languish, fall
буй	adj. existing
өнөө	adv. now, today
залуусын	adj. junior
санаачлах	v. to initiate, dream up, invent
дээшлэх	v. to upgrade
энэхүү	n. the present
уралдаан	n. race, match
зорилго	n. point, purpose
орших	v. to exist
цацарч	n. marquee
суниах	v. to go
биеийн	adj. personal, bodily
чилэх	v. to go numb
өрөөнд	adj. indoors
зүтгэх	v. to endeavor, to seek
өгөө	n. obligation
гүйн	adv. hurriedly
дураараа	adj. willful, contrary, unsubmissive
хичнээн	adj. how many
хэлтэрхий	n. chip, morsel, fragment
чангаар	adj. loud, high
биз	adv. presumably
ургах	v. fertile, germinate, grow
уяа	n. cord, lacing, line
чимсэн	adj. decorated, ornate
тосолсон	adj. oil
хилэгнэх	v. to get angry
нүдэх	v. knock, pound, flail
эвдэх	v. demolish, scrap
цавчих	v. hack, hew
ядарч	adv. wearily
оронд	adv. instead
эцэх	v. to tire, weary
араас	prep. after
хөөсөн	adj. swollen
загнах	v. admonish, scold
зүхэх	v. abuse, curse
унтрах	v. burn out, die
нэмэр	n. supplement
унтарсан	adj. dead, extinct
ширтэх	v. stare at
гал	n. fire, heat
хатгах	v. bite, incite, instigate
нуугдах	v. hide, shelter, disappear
гүйх	v. to run, frisk
тийнхүү	adv. accordingly, such
цоо	adj. completely
булах	v. bury
хүссэн	adj. impatient, longing
уйтгар	n. boredom, flatness, sadness, weariness
чанар	n. attribute, character
маалинга	n. flax
ээрүүл	n. spindle, spinning wheel
эргэлдэх	v. reel, revolve, whirl
нарийхан	adj. delicate, slim
эвхэх	v. fold
утсаар	v. to wire
даавуу	n. cloth, jeans
торго	n. silk
гоёмсог	adj. elegant, delicate
сүвлэх	n. thread
алдах	v. lose,fail, mistake
зарах	v. sell, exert
ордон	n. castle, palace
аваачих	v. to take away
үнэлэх	v. apprise, price, measure
бэлэг	n. donation, gift, grant
сайшаагдах	v. approve
талархах	v. acknowledge, thank
зүрхлэх	v. dare, presume
тун	adv. absolutely, greatly, very
чиг	n. landmark
эвдэх	v. breach, trample
вий	conj. lest
эсгэх	v. to cut off
айх	v. to recoil
ийм	adj. such
хийц	n. fabric, cloth
оёо	n. stitch
тэгвэл	conj. when...,if...
тушаах	v. to submit, surrender, order
сувд	n. pearl
зарц	n. servant
үзэгдэх	v. to appear
өдрөөс	adj. from day
хойш	adj. next, hence
цагаахан	adj. white
өөрийнхөө	pron. my
удалгүй	adj. soon
хурим	n. wedding
ая	n. situation, condition, sound
тусч	adj. helping
хөөрхөн	adj. cute, nice
халаас	n. pocket
эрхэм	adj. important, master
зочид	n. guests
золгох	v. to meet
дархан	n. artisan, craftsman
хулгай	n. robbery, theft
харуул	n. convoy, escort, guard
манаа	n. guard, patrol, sentinel
болих	v. quit, discontinue
уруу	adj. downhill, downstream, downcast
царай	n. expression, look
гуниглах	n. regret
тайтгарах	v. appease, calm, console
хөвгүүдийн	adj. boyish
гутрах	v. gloom, droop
өөрсдөө	pron. themselves
манах	v. to guard, patrol
онцолсон	adj. emphatic
өвсөн	adj. grassy
зүүрмэглэх	v. nap, snooze
хонох	v. sleep, stay over
баярлах	v. indulge
эд	n. stuff, thing
нойр	n. dream, slumber
өвс	n. grass, hay, pasture
бүүр	adv. already
модон	adj. wooden
тонших	v. knock, peck
гэтэх	v. creep, sneak, prowl
өд	n. feather, pinion
одох	v. depart
гэмтэн	n. guilt, wrongdoing
хүндэт	adj. dear, honorable
амьтан	n. animal
мултрах	v. to slip away
баярлах	v. appreciate, rejoice, thank
мориор	n. riding
мордох	v. to ride
туулах	v. confront, pass, conquer
нутгийн	adj. native
буун	n. shot, discharge, report
чөдөрлөх	v. clog, fetter
унтаа	adj. dormant
баах	v. defecate
мөлжих	v. gnaw, milk, exploit
унаа	n. movement, transportation
халаглах	n. tut
заяа	n. luck
явган	adj. by foot, pedestrian
үхтлээ	adj. dead
зүлгэх	v. swab, brighten
өрөвдөх	v. pity, sympathize
зориг	n. confidence, daring, nerve
чонын	adj. like a wolf
шүргэх	v. contact, kiss, rub
хурдлах	v. race, lick
торон	adj. lacy, meshy
давах	v. confront, conquer, outdo
өвөр	adj. front, inside
цайз	n. castle, fortress
үлээх	v. inflate, puff, gas
хэц	n. tambourine
бөмбөр	n. drum
дэлдэн	adj. lop eared
сэрээх	v. awaken, rouse
ичгүүр	n. disgrace, humiliation
эцгийн	adj. paternal
хүндлэх	v. honor, regard,respect
шившиг	adj. disgrace, dishonor
даяар	adv. all over, throughout
зарлах	v. advertise, announce
дуугүй	adj. noiseless, silent
өршөөх	v. excuse, pardon, forgive
дэл	n. mane
гунихрах	v. to grieve
гуйх	v. beg, ask
суу	adj. genius
жүчээ	n. stall
орон	n. house, nation, situation
чулуун	adj. stony
шигтгээ	adj. inlaid
санагдах	v. appear, seem
гүнж	n. princess
асрагч	n. guardian, trustee
шивэгчин	n. maidservant
буцах	v. back, forswear, go, return
гүйцэх	v. outpace
олуул	n. flock
зугаалах	v. journey, stroll
дүүрэх	v. fill, pervade, swim
утгах	v. shovel, ladle
хөөх	v. chase away, eject
тэгэхэд	conj. whereas
хаа	n. whereabouts
нуух	v. cloak, conceal
хувирах	v. change, convert
тонгорох	v. somersault, spill
адил	n. analogy
найр	n. ball, feast
хоншоор	n. toe, muzzle
харагдах	v. appear, look
орноос	v. to get up out of bed
харамсах	v. to regret, be disappointed
хөтлөх	v. lead, prosecute
төрөлх	v. inherent, inborn, natural
бэгийн	adj. donative, gratuitous
авчруулах	v. send for
цочирдох	v. shocked
падхийн унар	n. thud
хүндэтгэх	v. adore, appreciate
үүр	n. cell, dawn, daylight
үүрд	n. eternity
биелэх	v. materialize
нутаг	n. habital, land
шийдэх	v. decide, conclude
хуваах	v. divide, bisect
хоосан	adj. deceitful, futile, bare, empty
дайралдах	v. to come across something
хамаг	adj. everything
тохиролцох	v. arrange, bargain, concert
айлгах	v. endanger, bluff, frighten, intimidate
сүрдэх	v. browbeat, intimidate
зуурах	v. grip, deadlock
билгийн	adj. fateful
мөнхийн	adj. eternal, everlasting
суллах	v. discharge, release
тул	conj. because, on account of
шарх	v. cut, wound
аних	v. close
эдгэрэх	v. recover
сэргэх	v. awaken
омгийн	adj. tribal
алах	v. assassinate, kill
тараах	v. carry, chase, dismiss
өөртөө	pron. oneself
аян	n. campaign, crusade, expidition
тайтгарах	v. quieten
жаргах	v. delight, pleasure
дүү	n. cousin
элдэх	v. crumple
элбэг	adj. bountiful, copious
дэлбэг	adj. lavish, luxuriant
агуулах	v. embody, store, reservoir
арвай	n. barley
бужигнах	v. to be muddled
орчин	n. environment
амжуулах	v. to manage in
хичээх	v. to take care, struggle
өмсөх	v. to wear
гялс	adv. passingly
дуусгах	v. to finish
мундаг	adj. huge
аягүй	adj. unbecoming
бараг	adj. A kind of ___,almost/nearly something____
эртхэн	adjv. go without delay
оруулах	v. to introduce, set up, go
бэлдэх	v. to prepare
хань	n. partner
гайгүй	adj. not too bad
таших	v. clap
нуга	n. lawn
бэлчих	v. graze
хөвсгөр	adj. fryable
намаг	n. swamp
намгийн	adj. growing in a wet or swampy area
атга	n. handful
чимх	v. handful
ширхэг	n. fiber, piece
аргаа барсан	adj. desperate
зээлдэх	v. lend, loan
тэг	n. nothing
гадар	n. outside, jacket, surface
өгөөрэй	interj. please
зайл	adj. away
өр	n. debt, liability
зээл	n. credit, loan
тавь	adj. fifty
гомдоох	v. annoy, grieve
өлөн	adj. hungry
хоосон	adj. blank, deceitful, futile
дэггүйтэх	v. wanton
чиглэх	v. focus, steer, trend
асар	n. citadel, pavilion, tent
царс	n. oak
хонгил	n. basement, corridor, tunnel
хийсгэх	v. blow away
харих	v. return, reverse
төлөө	prep. for, on behalf of
шидэт	n. wizard, fairy
бүтээлгийг авах	v. uncover
бүхэн	adj. each
доошоо	prep. down
гоо	adj. pretty
амралт	n. vacation
залгах	v. plug in
бассейн	n. pool
тэгэнгээ	conj. while
уралдах	v. to race
хаачих	v. where are you going
ийш	adv. here
бөөнөөрөө	adv. quickly
захиалах	v. order
хага	n. burst
сорох	v. suck
холдох	v. to withdraw
алив	phrase. let's
онгоц	n. plane
динозавр	n. dinosaur
буух	v. get off
цадтал	adv. to glut
ундлах	v. offer food
атаархах	v. envy
бүлтийх	v. stare
тэнд	adv. there
манайх	n. house
бүлэх	v. jab, stab
бүтээлэг	n. blanket
өрөг	n. game
бий	v. have
дэлгэх	v. display
атаархах	v.envy
улайх	v. confess, flush, redden
цатгалан	adj. satiated
элэгсэг	adj. loving
үдэх	v. see off
ижил	adj. same
унд	n. dish, beverage
цэмцийх	v. to become element
бүтээл	n. invention, work
гаслах	v. to mourn
зоорь	n. cellar
зутан	n. gruel
хайлах	v. flux, liquefy, melt
халих	v. overflow, spill, fill
асгарах	v. flow, spill
аальгүй	adj. flirty, prudish
шоглох	v. tease
эрэл	n. reconnaisance, assessment
өмнөхөн	n. eve
улалзах	v. gleam
балчир	n. green
хутгах	v. blend, mix, agitate
бөндгөр	adj. knobby
боргоцой	n. cone
бөөн	n. clogging, knot, clump
туух	v. drive, pursue
өлсгөх	v. starve
дарах	v. crush, extinguish, delete
хуурах	v. deceive, delude
жирийн	adj. common, humble
түмпэн	n. basin, pan
исгэрэх	v. hiss, sizzle, whistle
жавар	n. frost
тасхийж	adj. biting
шоглоом	n. fun, trick
гүн	adj. deep, innermost
огт	adv. absolutely, whatsoever
мөрдөх	v. chase, exercise
хүнхэр	adj. concave, curved in
доогуур	prep. below, beneath
хэвтэх	v. lie down
хөлдөөх	v. freeze
ердөө	adv. generally, ordinarily
асгах	v. dump, flood, shower
уут	n. bag, sack
бороохой	n. club, bludgeon
хаагуур	n. whereabouts
нурах	v. collapse, crumble
хэмхэрсэн	adj. battered, broken
засах	v. invite, steer, sail
залах	v. govern, invite, steer
нарсан	adj. related to pine trees
балбах	v. batter, club, pound
хуур	n. fiddle, violin
чөлөө	n. clearning, expanse, freedom
өршөөгч	n. philantropist
уутан	adj. related to sleeping
шахах	v. compel, constrain
булан	adj. anger, corner, nook
